SEF	1.0.0
ID	MooseFactoryCanada
Name	MooseFactory
Lat	51.24
Lon	279.24
Alt	276
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	01	07	00	0	-3.75	|	orig=25.1/4 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	01	14	00	0	16.67	|	orig=62 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	01	21	00	0	18.06	|	orig=64.1/2 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	07	00	0	-2.92	|	orig=26.3/4 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	21	00	0	17.92	|	orig=64.1/4 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	07	00	0	-7.50	|	orig=18.1/2 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	14	00	0	19.17	|	orig=66.1/2 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	21	00	0	19.44	|	orig=67 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	07	00	0	-8.61	|	orig=16.1/2 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	14	00	0	16.11	|	orig=61 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	21	00	0	21.53	|	orig=70.3/4 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	07	00	0	-4.17	|	orig=24.1/2 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	14	00	0	17.78	|	orig=64 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	21	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	07	00	0	-6.39	|	orig=20.1/2 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	14	00	0	18.06	|	orig=64.1/2 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	21	00	0	20.56	|	orig=69 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	07	07	00	0	-7.22	|	orig=19 F|Local time: 0700|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	07	14	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	07	21	00	0	14.17	|	orig=57.1/2 F|Local time: 2100|QC flag: None|Image File: MooseFactory_USSI-401_M1958_1861-01-01_OBS-R.jpg
