SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDCas
Lat	47.55
Lon	307.28
Alt	37.6
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1868	11	01	11	30	0	-5.56	|	orig=22 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	01	18	30	0	5.56	|	orig=42 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	01	30	0	3.33	|	orig=38 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	11	30	0	5.00	|	orig=41 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	18	30	0	11.67	|	orig=53 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	01	30	0	4.44	|	orig=40 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	11	30	0	3.33	|	orig=38 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	18	30	0	8.33	|	orig=47 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	01	30	0	5.56	|	orig=42 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	11	30	0	6.11	|	orig=43 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	18	30	0	7.22	|	orig=45 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	01	30	0	7.78	|	orig=46 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	11	30	0	7.22	|	orig=45 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	18	30	0	8.33	|	orig=47 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	06	01	30	0	7.78	|	orig=46 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
