SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	Tng
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=8
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	08	00	0	-0.72	|	orig=30.7 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	08	00	0	1.22	|	orig=34.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	08	00	0	-1.44	|	orig=29.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	08	00	0	-0.22	|	orig=31.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	08	00	0	-0.89	|	orig=30.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	08	00	0	-1.33	|	orig=29.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	08	00	0	-2.50	|	orig=27.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	08	00	0	-4.44	|	orig=24.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	08	00	0	-2.50	|	orig=27.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	08	00	0	-0.56	|	orig=31.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	08	00	0	-4.72	|	orig=23.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	08	00	0	-3.56	|	orig=25.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	08	00	0	-1.44	|	orig=29.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	08	00	0	-3.89	|	orig=25.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	08	00	0	-1.67	|	orig=29.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	08	00	0	0.11	|	orig=32.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	08	00	0	1.78	|	orig=35.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	08	00	0	-4.89	|	orig=23.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	08	00	0	-6.94	|	orig=19.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	08	00	0	-5.89	|	orig=21.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	08	00	0	-9.72	|	orig=14.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	23	08	00	0	-10.56	|	orig=13.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	24	08	00	0	-11.39	|	orig=11.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	25	08	00	0	-10.28	|	orig=13.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	26	08	00	0	-5.56	|	orig=22.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	27	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	28	08	00	0	-1.44	|	orig=29.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	29	08	00	0	-3.06	|	orig=26.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	30	08	00	0	-2.33	|	orig=27.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	02	01	08	00	0	0.00	|	orig=32.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	02	08	00	0	-3.67	|	orig=25.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	03	08	00	0	-4.72	|	orig=23.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	04	08	00	0	-4.89	|	orig=23.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	05	08	00	0	-5.83	|	orig=21.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	06	08	00	0	-6.11	|	orig=21.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	07	08	00	0	-6.67	|	orig=20.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	08	08	00	0	-5.67	|	orig=21.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	09	08	00	0	-4.33	|	orig=24.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	10	08	00	0	-3.61	|	orig=25.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	11	08	00	0	-0.67	|	orig=30.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	12	08	00	0	-0.83	|	orig=30.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	13	08	00	0	-1.94	|	orig=28.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	14	08	00	0	-4.28	|	orig=24.3 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	15	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	16	08	00	0	-4.67	|	orig=23.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	17	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	18	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	19	08	00	0	-6.44	|	orig=20.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	20	08	00	0	-5.00	|	orig=23.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	21	08	00	0	-7.33	|	orig=18.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	22	08	00	0	-7.61	|	orig=18.3 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	23	08	00	0	-4.17	|	orig=24.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	24	08	00	0	-4.44	|	orig=24.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	26	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	27	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	28	08	00	0	-12.00	|	orig=10.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	03	01	08	00	0	-15.83	|	orig=3.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	02	08	00	0	-13.06	|	orig=8.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	03	08	00	0	-7.39	|	orig=18.7 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	04	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	05	08	00	0	-2.83	|	orig=26.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	06	08	00	0	-7.94	|	orig=17.7 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	07	08	00	0	-12.50	|	orig=9.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	08	08	00	0	-16.67	|	orig=2.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	09	08	00	0	-11.22	|	orig=11.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	10	08	00	0	-4.33	|	orig=24.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	11	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	12	08	00	0	-3.44	|	orig=25.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	13	08	00	0	-0.83	|	orig=30.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	14	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	15	08	00	0	-0.83	|	orig=30.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	16	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	17	08	00	0	-2.00	|	orig=28.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	18	08	00	0	-0.83	|	orig=30.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	19	08	00	0	-0.56	|	orig=31.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	20	08	00	0	-0.56	|	orig=31.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	21	08	00	0	0.00	|	orig=32.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	22	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	23	08	00	0	1.39	|	orig=34.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	24	08	00	0	1.00	|	orig=33.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	25	08	00	0	-2.50	|	orig=27.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
